Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Units in structure,Rent,Household income
T18C_est1,2021,2035,356,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Total,Total: Renter occupied,All,All,NA
T18C_est2,2021,1400,330,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Renter occupied,One unit in structure,All,All
T18C_est3,2021,215,105,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Renter occupied,One unit in structure,less than or equal to RHUD30,All
T18C_est4,2021,20,20,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,less than or equal to 30% of HAMFI
T18C_est5,2021,80,63,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est6,2021,95,84,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est7,2021,15,17,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est8,2021,10,14,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 100% of HAMFI
T18C_est9,2021,280,122,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,All
T18C_est10,2021,30,37,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,less than or equal to 30% of HAMFI
T18C_est11,2021,85,70,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est12,2021,85,72,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est13,2021,20,32,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est14,2021,65,68,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 100% of HAMFI
T18C_est15,2021,625,238,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,All
T18C_est16,2021,110,100,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,less than or equal to 30% of HAMFI
T18C_est17,2021,50,44,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est18,2021,150,125,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est19,2021,95,85,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est20,2021,225,124,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 100% of HAMFI
T18C_est21,2021,285,136,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Renter occupied,One unit in structure,greater than RHUD80,All
T18C_est22,2021,55,61,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD80,less than or equal to 30% of HAMFI
T18C_est23,2021,0,28,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est24,2021,95,106,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est25,2021,30,33,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est26,2021,110,72,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 100% of HAMFI
T18C_est27,2021,120,50,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Renter occupied,2 to 4 units in structure,All,All
T18C_est28,2021,80,38,2017thru2021,050,0500000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Renter occupied,2 to 4 units in structure,less than or equal to RHUD30,All
