Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Units in structure,Home value,Household income
T18A_est1,2019,6175,428,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Total,Total: Owner occupied with a mortgage,All,All,NA
T18A_est2,2019,5810,447,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with a mortgage,One unit in structure,All,All
T18A_est3,2019,1000,238,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,All
T18A_est4,2019,110,76,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,less than or equal to 30% of HAMFI
T18A_est5,2019,180,140,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18A_est6,2019,175,107,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18A_est7,2019,185,86,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18A_est8,2019,345,145,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 100% of HAMFI
T18A_est9,2019,2600,386,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,All
T18A_est10,2019,80,60,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,less than or equal to 30% of HAMFI
T18A_est11,2019,95,65,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18A_est12,2019,540,226,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18A_est13,2019,265,128,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18A_est14,2019,1625,298,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 100% of HAMFI
T18A_est15,2019,900,220,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,All
T18A_est16,2019,20,39,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,less than or equal to 30% of HAMFI
T18A_est17,2019,45,51,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18A_est18,2019,135,90,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18A_est19,2019,115,75,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18A_est20,2019,580,168,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 100% of HAMFI
T18A_est21,2019,1305,276,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD100,All
T18A_est22,2019,10,14,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD100,less than or equal to 30% of HAMFI
