Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Units in structure,Home value,Household income
T18B_est1,2019,2495,277,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Total,Total: Owner occupied with no mortgage,All,All,NA
T18B_est2,2019,2120,270,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,One unit in structure,All,All
T18B_est3,2019,625,190,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,All
T18B_est4,2019,105,57,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,less than or equal to 30% of HAMFI
T18B_est5,2019,120,67,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est6,2019,260,164,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est7,2019,90,73,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est8,2019,55,34,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 100% of HAMFI
T18B_est9,2019,770,204,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,All
T18B_est10,2019,85,58,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,less than or equal to 30% of HAMFI
T18B_est11,2019,90,62,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est12,2019,150,71,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est13,2019,140,95,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est14,2019,300,108,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 100% of HAMFI
T18B_est15,2019,330,127,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,All
T18B_est16,2019,25,39,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,less than or equal to 30% of HAMFI
T18B_est17,2019,25,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est18,2019,65,64,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est19,2019,15,23,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est20,2019,200,89,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 100% of HAMFI
T18B_est21,2019,395,105,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD100,All
T18B_est22,2019,25,28,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD100,less than or equal to 30% of HAMFI
T18B_est23,2019,20,22,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD100,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est24,2019,50,32,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD100,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est25,2019,30,35,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD100,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est26,2019,265,91,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD100,greater than 100% of HAMFI
T18B_est27,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,2 to 4 units in structure,All,All
T18B_est28,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,2 to 4 units in structure,Value less than or equal to VHUD50,All
T18B_est29,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value less than or equal to VHUD50,less than or equal to 30% of HAMFI
T18B_est30,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value less than or equal to VHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est31,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value less than or equal to VHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est32,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value less than or equal to VHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est33,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value less than or equal to VHUD50,greater than 100% of HAMFI
T18B_est34,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80,All
T18B_est35,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80,less than or equal to 30% of HAMFI
T18B_est36,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est37,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est38,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est39,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 100% of HAMFI
T18B_est40,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100,All
T18B_est41,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100,less than or equal to 30% of HAMFI
T18B_est42,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est43,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est44,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est45,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied with no mortgage,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100,greater than 100% of HAMFI
