Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Household income,Household type,Cost burden
T7_est1,2019,10945,476,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Total,Total: Occupied housing units,All,All,All
T7_est2,2019,8670,465,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,All,All,All
T7_est3,2019,615,157,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,All,All
T7_est4,2019,70,49,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",All
T7_est5,2019,25,30,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is less than or equal to 30%
T7_est6,2019,25,40,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est7,2019,15,19,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 50%
T7_est8,2019,125,73,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",All
T7_est9,2019,15,29,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is less than or equal to 30%
T7_est10,2019,25,34,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est11,2019,75,58,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 50%
T7_est12,2019,4,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),All
T7_est13,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),housing cost burden is less than or equal to 30%
T7_est14,2019,4,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 30% but less than or equal to 50%
T7_est15,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 50%
T7_est16,2019,310,108,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,All
T7_est17,2019,85,59,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,housing cost burden is less than or equal to 30%
T7_est18,2019,125,90,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,housing cost burden is greater than 30% but less than or equal to 50%
T7_est19,2019,90,44,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,housing cost burden is greater than 50%
T7_est20,2019,110,67,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),All
T7_est21,2019,10,15,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),housing cost burden is less than or equal to 30%
T7_est22,2019,0,26,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 30% but less than or equal to 50%
T7_est23,2019,40,34,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 50%
T7_est24,2019,685,209,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,All,All
T7_est25,2019,115,62,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",All
T7_est26,2019,100,58,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is less than or equal to 30%
T7_est27,2019,4,8,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est28,2019,10,14,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 50%
T7_est29,2019,145,86,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",All
T7_est30,2019,45,55,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is less than or equal to 30%
T7_est31,2019,80,70,2015thru2019,050,05000US51033,Caroline County, Virginia,51,033,51033,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 30% but less than or equal to 50%
