version,st,fips,area,pow_st,pow_puma,pow_label
PUMACE10,51,013,Arlington County,051,01300,Northern Virginia
PUMACE10,51,041,Chesterfield County,051,04100,Richmond area
PUMACE10,51,107,Loudoun County,051,10700,Northern Virginia
PUMACE10,51,005,Alleghany County,051,51000,Somewhere else in Virginia
PUMACE10,51,023,Botetourt County,051,51000,Somewhere else in Virginia
PUMACE10,51,580,Covington city,051,51000,Somewhere else in Virginia
PUMACE10,51,045,Craig County,051,51000,Somewhere else in Virginia
PUMACE10,51,067,Franklin County,051,51000,Somewhere else in Virginia
PUMACE10,51,770,Roanoke city,051,51000,Somewhere else in Virginia
PUMACE10,51,161,Roanoke County,051,51000,Somewhere else in Virginia
PUMACE10,51,775,Salem city,051,51000,Somewhere else in Virginia
PUMACE10,51,027,Buchanan County,051,51010,Somewhere else in Virginia
PUMACE10,51,051,Dickenson County,051,51010,Somewhere else in Virginia
PUMACE10,51,105,Lee County,051,51010,Somewhere else in Virginia
PUMACE10,51,720,Norton city,051,51010,Somewhere else in Virginia
PUMACE10,51,167,Russell County,051,51010,Somewhere else in Virginia
PUMACE10,51,169,Scott County,051,51010,Somewhere else in Virginia
PUMACE10,51,185,Tazewell County,051,51010,Somewhere else in Virginia
PUMACE10,51,195,Wise County,051,51010,Somewhere else in Virginia
PUMACE10,51,021,Bland County,051,51020,Somewhere else in Virginia
PUMACE10,51,520,Bristol city,051,51020,Somewhere else in Virginia
PUMACE10,51,035,Carroll County,051,51020,Somewhere else in Virginia
PUMACE10,51,640,Galax city,051,51020,Somewhere else in Virginia
PUMACE10,51,077,Grayson County,051,51020,Somewhere else in Virginia
PUMACE10,51,173,Smyth County,051,51020,Somewhere else in Virginia
PUMACE10,51,191,Washington County,051,51020,Somewhere else in Virginia
PUMACE10,51,197,Wythe County,051,51020,Somewhere else in Virginia
PUMACE10,51,063,Floyd County,051,51040,Somewhere else in Virginia
PUMACE10,51,071,Giles County,051,51040,Somewhere else in Virginia
PUMACE10,51,121,Montgomery County,051,51040,Somewhere else in Virginia
PUMACE10,51,155,Pulaski County,051,51040,Somewhere else in Virginia
PUMACE10,51,750,Radford city,051,51040,Somewhere else in Virginia
PUMACE10,51,015,Augusta County,051,51080,Somewhere else in Virginia
PUMACE10,51,017,Bath County,051,51080,Somewhere else in Virginia
PUMACE10,51,530,Buena Vista city,051,51080,Somewhere else in Virginia
PUMACE10,51,091,Highland County,051,51080,Somewhere else in Virginia
PUMACE10,51,678,Lexington city,051,51080,Somewhere else in Virginia
PUMACE10,51,163,Rockbridge County,051,51080,Somewhere else in Virginia
PUMACE10,51,790,Staunton city,051,51080,Somewhere else in Virginia
PUMACE10,51,820,Waynesboro city,051,51080,Somewhere else in Virginia
PUMACE10,51,043,Clarke County,051,51084,Somewhere else in Virginia
PUMACE10,51,069,Frederick County,051,51084,Somewhere else in Virginia
