major,minor,description,ind_code,naics_code,pums_code
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting, and Mining",0170-0490,11-21,11-21
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting","Agriculture, Forestry, Fishing, and Hunting",0170-0290,11,11
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting",Crop production  ,0170,111,111
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting",Animal production and aquaculture,0180,112,112
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting",Forestry except logging ,0190,"1131, 1132",113M
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting",Logging ,0270,1133,1133
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting","Fishing, hunting and trapping ",0280,114,114
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Agriculture, Forestry, Fishing, and Hunting",Support activities for agriculture and forestry ,0290,115,115
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction",0370-0490,21,21
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Mining, Quarrying, and Oil and Gas Extraction",Oil and gas extraction ,0370,211,211
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Mining, Quarrying, and Oil and Gas Extraction",Coal mining ,0380,2121,2121
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Mining, Quarrying, and Oil and Gas Extraction",Metal ore mining ,0390,2122,2122
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Mining, Quarrying, and Oil and Gas Extraction",Nonmetallic mineral mining and quarrying ,0470,2123,2123
"Agriculture, Forestry, Fishing, and Hunting, and Mining","Mining, Quarrying, and Oil and Gas Extraction",Support activities for mining ,0490,213,213
Construction,Construction,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),0770,23,23
Manufacturing,Manufacturing,Manufacturing,1070-3990,31-33,31-33
Manufacturing,Manufacturing,"Animal food, grain and oilseed milling ",1070,"3111, 3112",311M1
Manufacturing,Manufacturing,Sugar and confectionery products ,1080,3113,3113
Manufacturing,Manufacturing,Fruit and vegetable preserving and specialty food manufacturing              ,1090,3114,3114
Manufacturing,Manufacturing,Dairy product manufacturing,1170,3115,3115
Manufacturing,Manufacturing,Animal slaughtering and processing ,1180,3116,3116
Manufacturing,Manufacturing,Retail bakeries ,1190,311811,311811
Manufacturing,Manufacturing,"Bakeries and tortilla manufacturing, except retail bakeries",1270,3118 exc. 311811,3118Z
Manufacturing,Manufacturing,"Seafood and other miscellaneous foods, n.e.c. ",1280,"3117, 3119",311M2
Manufacturing,Manufacturing,Not specified food industries,1290,Part of 311, 311S
Manufacturing,Manufacturing,Beverage manufacturing,1370,3121,3121
Manufacturing,Manufacturing,Tobacco manufacturing,1390,3122,3122
Manufacturing,Manufacturing,"Fiber, yarn, and thread mills ",1470,3131,3131
Manufacturing,Manufacturing,"Fabric mills, except knitting mills",1480,3132 exc. 31324,3132Z
Manufacturing,Manufacturing,Textile and fabric finishing and fabric coating mills,1490,3133,3133
Manufacturing,Manufacturing,Carpet and rug mills,1570,31411,31411
Manufacturing,Manufacturing,"Textile product mills, except carpet and rug",1590,314 exc. 31411,314Z
Manufacturing,Manufacturing,"Knitting fabric mills, and apparel knitting mills ",1670,"31324, 3151",31M
Manufacturing,Manufacturing,"Cut and sew, and apparel accessories and other apparel manufacturing",1691,"3152, 3159",315M
Manufacturing,Manufacturing,Footwear manufacturing,1770,3162,3162
Manufacturing,Manufacturing,"Leather and hide tanning and finishing, and other leather and allied product manufacturing",1790,"3161, 3169",316M
Manufacturing,Manufacturing,"Pulp, paper, and paperboard mills ",1870,3221,3221
Manufacturing,Manufacturing,Paperboard container manufacturing,1880,32221,32221
Manufacturing,Manufacturing,Miscellaneous paper and pulp products  ,1890,"32222,32223, 32229",3222M
Manufacturing,Manufacturing,Printing and related support activities ,1990,3231,3231
