"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VACV2005838","RES","CLS","18384 Governor Dr","22546","Caroline, VA","Detached","3,096","4","2","1","","04/30/24","$578,546.00","$578,546","0","0","Standard","Standard Sale","Conventional","0.14","2024","Yes","","Excellent","PENDLETON",""
"VACV2005776","RES","CLS","17433 American Way","22580","Caroline, VA","Detached","1,744","3","2","","","03/28/24","$425,000.00","$425,000","0","0","Standard","Standard Sale","VA","13.91","2002","No","","Very Good","NONE AVAILABLE",""
"VACV2005672","RES","CLS","7025 Jericho Rd","22546","Caroline, VA","Detached","2,466","3","2","1","04/07/2024","04/30/24","$605,000.00","$600,000","4","4","Standard","Standard Sale","VA","20.43","2005","No","2024","","NONE AVAILABLE",""
"VACV2005662","RES","CLS","12040 Golansville Rd","22546","Caroline, VA","Detached","1,480","3","2","0","03/31/2024","04/26/24","$350,000.00","$358,000","3","3","Standard","Standard Sale","Conventional","2.26","1994","No","2024","Excellent","HOLLYTREE",""
"VACV2005446","RES","CLS","7221 Congressional Cir","22546","Caroline, VA","Interior Row/Townhouse","0","3","2","1","","01/24/24","$329,615.00","$329,615","0","0","Standard","Standard Sale","VA","0.00","","Yes","","Excellent","PENDLETON",""
"VACV2005634","RES","CLS","26044 Townfield Dr","22535","Caroline, VA","Detached","963","2","1","0","03/21/2024","04/30/24","$225,000.00","$225,000","1","1","Standard","Standard Sale","Cash","0.00","1963","No","","","TOWNFIELD",""
"VACV2005618","RES","CLS","23229 Johnstown Ln","22546","Caroline, VA","Detached","2,889","5","3","","03/30/2024","04/26/24","$385,000.00","$390,775","10","10","Standard","Standard Sale","VA","0.20","2004","No","","","BELMONT AT CARMEL CHURCH",""
"VACV2005616","RES","CLS","215 Marday Dr","22546","Caroline, VA","Detached","1,056","3","2","","03/22/2024","04/24/24","$279,900.00","$279,900","4","4","Standard","Standard Sale","Conventional","0.46","1994","No","2019","","LAKE LAND OR","LAKE LAND"
"VACV2005586","RES","CLS","22309 Great Falls Way","22546","Caroline, VA","Detached","2,800","5","3","0","04/01/2024","04/23/24","$460,000.00","$447,000","18","18","Standard","Standard Sale","VA","2.00","2024","Yes","","Excellent","NONE AVAILABLE","DUKES PLANTATION"
"VACV2005582","RES","CLS","612 Wright Dr","22546","Caroline, VA","Detached","2,020","5","3","","03/25/2024","05/01/24","$355,000.00","$355,000","5","5","Standard","Standard Sale","Conventional","1.40","2005","No","","Excellent","LAKE LAND OR","LAKE LAND"
