"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST2034508","RES","CLS","89 Partridge Ln","22556","Stafford, VA","Detached","5,891","5","4","1","","11/08/24","$1,140,000.00","$1,140,000","0","0","Standard","Standard Sale","Conventional","3.02","2003","No","","Excellent","HUNTERS POND",""
"VAST2034444","RES","CLS","1035 Reiser","22405","Stafford, VA","Detached","7,500","6","5","1","","10/02/24","$1,353,751.00","$1,353,751","0","0","Standard","Standard Sale","Conventional","1.20","","Yes","","Excellent","NONE AVAILABLE",""
"VAFB2007222","RES","CLS","1106 Rampart Dr","22401","Fredericksburg City, VA","Interior Row/Townhouse","0","3","3","1","","11/05/24","$378,480.00","$378,480","0","0","Standard","Standard Sale","Conventional","0.00","2024","Yes","","Excellent","FREDERICKSBURG CITY",""
"VASP2028912","RES","CLS","7330 Arkwright Dr","22407","Spotsylvania, VA","Detached","1,533","3","2","","","11/20/24","$438,990.00","$480,750","0","0","Standard","Standard Sale","Cash","0.00","2024","Yes","","Excellent","REGENCY AT CHANCELLORSVILLE NORTH",""
"VAOR2008376","RES","CLS","17133 Trappers Ln","22960","Orange, VA","Detached","1,144","3","2","0","","10/29/24","$305,000.00","$305,000","0","0","Standard","Standard Sale","FHA","2.06","2006","No","","","NONE AVAILABLE","TIMBERNOOK"
"658779","RES","CLS","7413 Retreat Rd","22733","Orange, VA","Detached","5,126","3","3","1","","11/14/24","$6,900,000.00","$6,900,000","0","0","Standard","","Cash","582.00","1780","No","","","UNKNOWN",""
"VAST2034218","RES","CLS","213 Lakeside View Ct","22406","Stafford, VA","Detached","6,200","4","2","1","","11/14/24","$930,095.00","$930,095","1","1","Standard","Standard Sale","FHA","2.00","","Yes","","Excellent","NONE AVAILABLE",""
"VASP2029190","RES","CLS","4432 Hotchkiss St","22408","Spotsylvania, VA","Manufactured","1,475","3","2","","11/12/2024","11/20/24","$194,900.00","$181,900","9","9","Standard","Standard Sale","Cash","0.00","2024","Yes","","Excellent","NONE AVAILABLE",""
"VASP2029052","RES","CLS","4231 Command Field Ct","22408","Spotsylvania, VA","Interior Row/Townhouse","1,900","4","3","1","","10/02/24","$414,000.00","$414,000","0","0","Standard","Standard Sale","Conventional","0.00","2024","Yes","","Excellent","NONE AVAILABLE",""
"VASP2028994","RES","CLS","100 Courtland Ln","22407","Spotsylvania, VA","Detached","2,443","4","2","1","11/08/2024","11/15/24","$185,000.00","$272,000","5","5","Standard","Standard Sale","Cash","0.40","1988","No","","","BREEZEWOOD","BREEZEWOOD"
