"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAFB2005912","RES","CLS","102 Wilderness Ln","22401","Fredericksburg City, VA","Detached","0","3","1","1","","04/30/24","$280,000.00","$280,000","0","0","Standard","Standard Sale","Cash","0.00","1900","No","","","NONE AVAILABLE",""
"VAFB2005806","RES","CLS","1805 Washington Ave","22401","Fredericksburg City, VA","Detached","872","2","1","0","04/14/2024","04/30/24","$350,000.00","$360,000","4","4","Standard","Standard Sale","Conventional","0.06","2013","No","","","DOWNTOWN FREDERICKSBURG",""
"VAFB2005776","RES","CLS","412 Palmer St","22401","Fredericksburg City, VA","Detached","2,492","3","3","","04/12/2024","04/24/24","$300,000.00","$300,000","6","6","Standard","Standard Sale","Cash","0.00","1967","No","","Average","MAYFIELD",""
"VAFB2005746","RES","CLS","1311 Wilcox Ave","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,870","4","3","1","04/08/2024","04/30/24","$419,900.00","$420,000","3","3","Standard","Standard Sale","VA","0.00","2005","No","","Excellent","VILLAGE OF IDLEWILD",""
"VAFB2005768","RES","CLS","1026 Trestle Dr","22401","Fredericksburg City, VA","End of Row/Townhouse","0","3","4","","","03/26/24","$451,460.00","$451,460","0","0","Standard","Standard Sale","Conventional","0.00","","Yes","","Excellent","NONE AVAILABLE",""
"VAFB2005752","RES","CLS","1016 Pickett St","22401","Fredericksburg City, VA","Detached","2,880","4","2","1","04/24/2024","04/29/24","$535,000.00","$540,000","6","6","Standard","Standard Sale","Conventional","0.00","2005","No","","","VILLAGE OF IDLEWILD",""
"VAFB2005692","RES","CLS","148 Hughey Ct","22401","Fredericksburg City, VA","Interior Row/Townhouse","0","2","1","1","03/29/2024","04/25/24","$249,000.00","$250,000","2","2","Standard","Standard Sale","Conventional","0.00","1977","No","","","CENTRAL PARK TOWNHOMES",""
"VAFB2005652","RES","CLS","1312 Sophia St","22401","Fredericksburg City, VA","Detached","2,529","5","2","1","03/28/2024","04/30/24","$799,000.00","$825,000","3","3","Standard","Standard Sale","Cash","0.00","1849","No","","","CITY OF FREDERICKSBURG",""
"VAFB2005680","RES","CLS","1609 Airport Ave","22401","Fredericksburg City, VA","Detached","1,800","3","2","2","04/01/2024","04/18/24","$350,000.00","$350,000","5","5","Standard","Standard Sale","Conventional","0.00","2005","No","","","AIRPORT",""
"VAFB2005648","RES","CLS","818 Grove Ave #10","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,527","3","2","","03/27/2024","04/22/24","$399,000.00","$400,000","7","7","Standard","Standard Sale","Cash","","1988","No","","","COLLEGE HALL GROVE",""
"VAFB2005614","RES","CLS","1200 Taylor St","22401","Fredericksburg City, VA","Detached","2,884","3","3","1","03/26/2024","04/16/24","$535,000.00","$527,500","6","6","Standard","Standard Sale","Cash","0.11","2006","No","","Excellent","VILLAGE OF IDLEWILD",""
"VAFB2005632","RES","CLS","1017 Albert Rennolds Dr","22401","Fredericksburg City, VA","Detached","4,098","5","3","1","03/24/2024","04/18/24","$727,000.00","$720,000","3","3","Standard","Standard Sale","Conventional","1.12","2000","No","2020","Excellent","HILLS AT SNOWDEN",""
"VAFB2005616","RES","CLS","1900 Charles St","22401","Fredericksburg City, VA","Detached","2,143","3","2","1","03/21/2024","04/18/24","$629,900.00","$615,000","6","6","Standard","Standard Sale","VA","0.00","2013","No","","Excellent","CITY OF FREDERICKSBURG",""
"VAFB2005618","RES","CLS","411 Gates St","22401","Fredericksburg City, VA","Detached","1,434","3","2","1","03/26/2024","04/22/24","$329,990.00","$345,000","5","5","Standard","Standard Sale","FHA","0.00","2005","No","","Very Good","MAYFIELD",""
"VAFB2005612","RES","CLS","1006 Featherston Ct","22401","Fredericksburg City, VA","Detached","4,950","4","3","1","03/25/2024","04/08/24","$899,900.00","$934,750","4","4","Standard","Standard Sale","Cash","1.06","1998","No","","","THE HILLS AT SNOWDEN",""
"VAFB2005580","RES","CLS","701 Cobblestone Blvd #106","22401","Fredericksburg City, VA","Unit/Flat/Apartment","0","1","1","1","04/02/2024","04/26/24","$299,000.00","$295,000","18","18","Standard","Standard Sale","Conventional","","2005","No","","","COBBLESTONE SQUARE",""
"VAFB2005578","RES","CLS","119 Beatson St","22401","Fredericksburg City, VA","Interior Row/Townhouse","2,232","3","3","1","03/11/2024","03/25/24","$555,000.00","$575,000","3","3","Standard","Standard Sale","Cash","0.03","2022","No","","Excellent","HIGHLANDER PARK",""
"VAFB2005570","RES","CLS","1514 Prince Edward St","22401","Fredericksburg City, VA","Detached","2,633","4","2","1","03/10/2024","03/22/24","$350,000.00","$401,500","3","3","Standard","Standard Sale","Cash","0.18","1939","No","","","NONE AVAILABLE",""
"VAFB2005550","RES","CLS","1430 Hudgins Farm Cir","22408","Fredericksburg City, VA","End of Row/Townhouse","2,488","3","2","1","03/14/2024","04/16/24","$435,000.00","$440,000","8","8","Standard","Standard Sale","Conventional","0.09","2016","No","","Excellent","SUMMERFIELD",""
"VAFB2005532","RES","CLS","204 Harris St","22401","Fredericksburg City, VA","Detached","1,236","3","2","","03/04/2024","03/29/24","$235,000.00","$268,000","3","3","Standard","Standard Sale","Other","0.11","1955","No","","","MAYFIELD",""
"VAFB2005518","RES","CLS","1416 Brent St","22401","Fredericksburg City, VA","Detached","0","3","1","1","03/22/2024","04/12/24","$439,900.00","$439,900","5","5","Standard","Standard Sale","Conventional","0.15","1957","No","","Very Good","COLLEGE HEIGHTS",""
"VAFB2005486","RES","CLS","600 Woodford St","22401","Fredericksburg City, VA","Detached","1,008","3","1","","02/26/2024","03/12/24","$307,000.00","$310,000","2","2","Standard","Standard Sale","Cash","0.15","1956","No","","","NORMANDY VILLAGE",""
"VAFB2005502","RES","CLS","1008 Lafayette Blvd","22401","Fredericksburg City, VA","Detached","1,818","2","1","","03/16/2024","03/25/24","$220,000.00","$188,801","9","9","Standard","Standard Sale","Cash","0.14","1945","No","","","NONE AVAILABLE",""
"VAFB2005466","RES","CLS","1323 Parcell St","22401","Fredericksburg City, VA","Detached","1,982","3","2","","02/25/2024","04/01/24","$499,900.00","$499,900","9","9","Standard","Standard Sale","FHA","0.16","1950","No","","Very Good","COLLEGE HEIGHTS",""
"VAFB2005470","RES","CLS","2001 Washington Ave","22401","Fredericksburg City, VA","Detached","3,210","3","2","","04/10/2024","04/30/24","$564,000.00","$560,000","43","43","Standard","Standard Sale","VA","0.15","1955","No","2016","Excellent","DOWNTOWN FREDERICKSBURG",""
"VAFB2005460","RES","CLS","1805-A William St #A003","22401","Fredericksburg City, VA","Unit/Flat/Apartment","705","1","1","","03/07/2024","03/29/24","$195,000.00","$195,000","22","22","Standard","Standard Sale","Cash","0.00","1971","No","","","WESTWOOD COMMONS",""
"VAFB2005430","RES","CLS","135 Hillcrest Dr","22401","Fredericksburg City, VA","Detached","2,094","4","2","1","03/20/2024","04/15/24","$497,000.00","$505,000","35","35","Standard","Standard Sale","Conventional","0.17","2024","Yes","","Excellent","FREDERICKSBURG CITY",""
"VAFB2005454","RES","CLS","1324 Trestle Dr","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,450","2","2","1","02/21/2024","03/22/24","$379,900.00","$379,900","7","7","Standard","Standard Sale","Conventional","0.00","2021","No","","Excellent","NONE AVAILABLE",""
"VAFB2005456","RES","CLS","1303 Gilmore St","22401","Fredericksburg City, VA","End of Row/Townhouse","3,048","3","3","1","02/22/2024","03/22/24","$535,000.00","$540,000","6","6","Standard","REO (Real Estate Owned)","VA","0.08","2019","No","","Very Good","COWAN CROSSING",""
"VAFB2005442","RES","CLS","1008 Wicklow Dr","22401","Fredericksburg City, VA","Interior Row/Townhouse","2,244","4","2","2","02/13/2024","03/18/24","$440,000.00","$440,000","1","1","Standard","Standard Sale","VA","0.00","2024","Yes","","Excellent","NONE AVAILABLE",""
"VAFB2005440","RES","CLS","512 Rivers Edge Dr","22405","Fredericksburg City, VA","Detached","0","4","2","1","","02/06/24","$531,365.00","$531,365","0","0","Standard","Standard Sale","Conventional","0.00","","Yes","","Excellent","NONE AVAILABLE",""
"VAFB2005436","RES","CLS","308 Progress St","22401","Fredericksburg City, VA","Detached","1,617","3","2","1","03/25/2024","04/24/24","$489,900.00","$489,000","39","39","Standard","Standard Sale","VA","0.11","2006","No","","Very Good","DOWNTOWN FREDERICKSBURG",""
