blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""517308105004""","""Richmond, VA""",1.00,700.00,397.00,242.76,27,33,30,11,13,11,17,20,18,4.97,8.13,1.59,2,2,14131,13960,14177,2,2,2,11593,11123,11473,9532,9087,9406,2061,2036,2068,0,0,0,0,0,0,7.0,5.7,3.30,1.64,10782,51,8843,80,8,213,785,600,1235,,66,34
"""510131018031""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,878.00,323.00,49.94,43,53,69,31,39,51,12,14,17,4.16,26.92,1.49,1,1,9881,9825,9581,24,24,25,12140,11870,10958,9321,9039,8123,1442,1433,1397,1378,1397,1438,654,663,683,8.2,9.7,5.72,6.47,82499,78,162161,62,3,388,498,2679,3735,1350,56,44
"""510179201004""",,1.00,996.00,345.00,50202.32,51,61,42,19,24,15,32,37,27,10.81,0.07,2.03,2,2,25364,24910,27191,0,0,0,15839,14694,16919,12134,11054,12946,3699,3634,3965,6,6,7,8,8,9,0.5,1.4,1.02,0.01,1544,76,1560,86,330,5,4769,794,875,579,85,15
"""510179201002""",,1.00,1269.00,547.00,182142.19,59,71,49,25,31,20,34,40,29,11.99,0.04,2.17,2,2,28411,28058,30275,0,0,0,17133,15923,18315,12983,11823,13892,4143,4093,4415,7,7,8,9,8,10,0.0,1.2,0.04,0.00,1709,93,1526,86,515,4,5339,1029,1066,,98,2
"""510179201001""",,1.00,568.00,228.00,64986.62,35,41,29,0,0,0,35,41,29,12.72,0.04,2.18,2,2,28802,28365,30587,0,0,0,17260,16131,18283,13054,11987,13815,4200,4138,4461,6,5,7,7,7,8,0.1,1.2,0.08,0.00,1472,93,1561,86,464,4,4779,0,,,91,9
"""516839104011""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1662.00,699.00,223.51,32,39,50,19,23,31,13,16,19,6.25,19.56,1.69,2,2,15881,15735,15294,6,6,6,13454,13162,12160,10622,10346,9413,2317,2296,2230,515,520,517,83,84,83,8.4,7.3,4.91,3.13,20637,17,32294,78,10,206,871,1618,1714,1540,47,53
"""510919701002""",,1.00,800.00,386.00,25192.12,58,69,47,26,32,20,32,37,27,9.89,0.15,2.02,2,2,23379,23007,26196,0,0,0,15499,14401,17087,12084,11039,13260,3409,3356,3820,6,5,7,7,7,8,0.8,1.2,0.28,0.02,1587,86,1629,86,175,10,2718,1044,1116,579,91,9
"""510090105042""","""Lynchburg, VA""",1.00,739.00,396.00,332.20,37,44,32,14,18,12,23,26,20,6.80,8.11,1.63,2,2,17418,17380,17820,1,1,1,12323,11384,12782,9781,8846,10181,2540,2535,2599,3,3,3,10,10,10,4.7,4.8,1.33,1.19,5716,64,8201,81,21,139,1003,632,568,698,55,45
"""517209601002""","""Big Stone Gap, VA""",1.00,1436.00,582.00,1093.41,55,67,37,24,30,14,32,38,22,7.23,3.85,1.68,2,2,17119,16379,19009,0,0,0,12026,11500,13885,9521,9103,11105,2497,2389,2772,7,7,7,9,9,9,4.2,3.0,1.91,0.53,2824,71,4218,83,21,107,1142,755,790,703,66,34
"""517209601003""","""Big Stone Gap, VA""",1.00,838.00,410.00,205.97,46,56,31,21,27,13,25,30,18,4.02,8.01,1.35,1,2,13070,12262,14999,0,0,0,9569,9069,11176,7655,7272,8982,1907,1789,2187,7,8,6,9,10,8,8.5,3.1,10.89,1.99,2880,22,4188,83,5,287,626,680,917,602,38,62
"""517209601001""","""Big Stone Gap, VA""",1.00,1168.00,415.00,1258.87,65,79,42,33,41,20,32,38,22,7.22,2.38,1.69,2,2,17477,16649,19495,0,0,0,12128,11635,13895,9572,9200,11045,2550,2429,2843,7,7,7,8,8,8,6.2,2.6,1.96,0.33,2551,52,3875,84,14,87,1104,1042,1519,426,65,35
"""511371101034""",,1.00,2584.00,909.00,1244.55,50,61,56,25,32,29,25,30,27,11.17,8.16,2.26,2,2,25738,25332,25592,1,1,1,17953,16898,17107,14186,13192,13362,3755,3694,3732,13,12,12,16,15,15,1.4,3.0,1.01,0.73,5623,100,3899,83,57,44,2214,1504,1554,,97,3
"""511371103003""",,1.00,1340.00,665.00,19677.70,49,60,55,25,31,28,25,29,27,10.03,0.34,2.20,2,2,25940,25354,25709,0,0,0,17584,16493,16726,13793,12790,12971,3784,3698,3749,6,6,6,8,8,8,1.0,1.1,0.13,0.03,2792,89,2999,86,123,13,2252,1466,1856,644,70,30
"""511498501001""","""Richmond, VA""",1.00,3482.00,7.00,1195.83,13,16,14,0,0,0,13,16,14,,,1.25,1,1,11199,10778,11168,0,0,0,9127,8705,9014,7488,7126,7379,1633,1572,1629,6,7,6,7,8,8,6.8,3.5,0.15,0.01,7210,29,8143,83,29,40,1548,0,,,0,100
"""515958901001""",,1.00,972.00,365.00,1536.09,81,97,39,40,49,17,42,47,22,6.74,1.60,1.59,2,2,15641,14494,18948,0,0,0,11285,10210,13927,8997,8038,11158,2282,2166,2763,7,7,6,8,8,7,3.2,2.6,2.93,0.24,2730,89,4731,84,19,81,987,893,1082,748,52,48
"""515958902002""",,1.00,297.00,165.00,328.39,69,82,34,30,37,13,40,45,21,5.60,2.81,1.52,1,2,14209,13014,17665,0,0,0,10732,9696,13266,8653,7744,10685,2073,1944,2576,7,7,6,8,9,7,5.8,2.2,1.62,0.50,3219,75,4510,85,6,193,647,672,667,676,53,47
"""515958901003""",,1.00,1239.00,396.00,528.07,85,101,41,42,53,18,42,48,22,6.77,5.07,1.61,2,2,15804,14571,19350,0,0,0,11467,10388,14102,9155,8205,11274,2306,2177,2822,6,7,6,8,8,7,4.2,1.9,1.39,0.75,3022,82,3697,85,13,105,970,956,968,945,56,44
"""515958902004""",,1.00,671.00,245.00,944.62,70,83,34,39,48,17,31,34,18,3.33,0.86,1.21,1,2,10802,9878,13560,0,0,0,8451,7466,11013,6867,5980,9029,1576,1476,1978,8,10,6,11,12,7,7.2,2.5,0.93,0.26,2799,42,4757,84,10,141,859,873,1925,353,39,61
