ami,size,value
30,1,29900
30,2,34200
30,3,38450
30,4,42700
30,5,46150
30,6,49550
30,7,52950
30,8,56400
30,9,59800
30,10,63200
50,1,49850
50,2,56950
50,3,64050
50,4,71150
50,5,76850
50,6,82550
50,7,88250
50,8,93950
50,9,99600
50,10,105300
80,1,63000
80,2,72000
80,3,81000
80,4,90000
80,5,97200
80,6,104400
80,7,111600
80,8,118800
80,9,126000
80,10,133200
100,1,78750
100,2,90000
100,3,101250
100,4,112500
100,5,121500
100,6,130500
100,7,139500
100,8,148500
100,9,157500
100,10,166500
120,1,94500
120,2,108000
120,3,121500
120,4,135000
120,5,145800
120,6,156600
120,7,167400
120,8,178200
120,9,189000
120,10,199800
