"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAKG2004836","RES","CLS","16451 Canvass Back Ct","22485","King George, VA","Interior Row/Townhouse","1,260","2","2","1","04/15/2024","05/01/24","$230,000.00","$232,000","6","6","Standard","Standard Sale","Conventional","0.04","1988","No","","","MALLARDS LANDING","MALLARDS LANDING"
"VAKG2004804","RES","CLS","7615 Dogwood Ln","22485","King George, VA","Detached","1,200","3","1","","04/11/2024","04/30/24","$249,900.00","$225,000","3","3","Standard","Standard Sale","Cash","9.00","1966","No","","Below Average","NONE AVAILABLE","POTOMAC DIST"
"VAKG2004812","RES","CLS","7175 Goby Ln","22485","King George, VA","Detached","860","2","1","","04/08/2024","04/30/24","$280,000.00","$300,000","4","11","Standard","Standard Sale","VA","1.00","1955","No","2024","Excellent","NONE WITH NO H.O.A.",""
"VAKG2004766","RES","CLS","2143 Chapel Way","22485","King George, VA","Other","2,100","5","3","","04/01/2024","04/23/24","$497,000.00","$497,000","4","4","Standard","Standard Sale","VA","1.00","1946","No","2024","","N/A","POTOMAC DIST"
"VAKG2004774","RES","CLS","3489 Red Gate Ln","22485","King George, VA","Detached","2,615","3","3","","03/29/2024","04/25/24","$585,000.00","$585,000","0","0","Standard","Standard Sale","VA","9.65","2018","No","","Very Good","NONE","POTOMAC DIST"
"VAKG2004758","RES","CLS","9186 Arcadia Dr","22485","King George, VA","Detached","3,447","3","3","1","","03/22/24","$672,152.00","$672,152","0","188","Standard","Standard Sale","Conventional","0.92","2024","Yes","","Excellent","NONE AVAILABLE",""
"VAKG2004752","RES","CLS","12397 State Rd","22485","King George, VA","Detached","1,900","5","3","","03/27/2024","04/25/24","$359,900.00","$367,490","7","7","Standard","Standard Sale","VA","0.50","1970","No","","","NONE","RAPPAHANNOCK DIST"
"VAKG2004728","RES","CLS","6044 Rosedale Dr","22485","King George, VA","Detached","1,272","4","2","","03/24/2024","04/30/24","$375,000.00","$375,000","5","5","Standard","Standard Sale","Conventional","0.92","1974","No","2023","Excellent","DAHLGREN DISTRICT","DAHLGREN DIST"
"VAKG2004730","RES","CLS","1170 Garner Dr","22485","King George, VA","Detached","1,648","3","2","1","03/22/2024","04/22/24","$389,000.00","$393,000","1","1","Standard","Standard Sale","Conventional","0.37","2004","No","","","OAKLAND PARK","OAKLAND PARK"
"VAKG2004714","RES","CLS","8505 Clare St","22485","King George, VA","Detached","2,152","2","2","1","03/11/2024","02/14/24","$252,000.00","$252,000","1","1","Standard","Standard Sale","Cash","1.20","1992","No","","","EDEN ESTATES","EDEN ESTATES"
"VAKG2004700","RES","CLS","8299 Delegate Dr","22485","King George, VA","Detached","2,266","5","3","1","03/31/2024","04/30/24","$399,980.00","$395,000","21","21","Standard","Standard Sale","Conventional","0.00","2006","No","","Very Good","PRESIDENTIAL LAKES","PRESIDENTIAL LAKES"
"VAKG2004644","RES","CLS","5067 Rose Ave","22485","King George, VA","Detached","1,512","4","3","","03/14/2024","04/09/24","$369,900.00","$369,900","7","7","Standard","Standard Sale","FHA","0.55","2010","No","","","GRANDROSE","GRANDROSE"
"VAKG2004692","RES","CLS","10264 Green Meadow Dr","22485","King George, VA","Detached","2,132","4","2","","03/26/2024","04/09/24","$250,000.00","$216,500","5","5","Standard","Standard Sale","Cash","5.16","1975","No","","","NO HOA","SHILOH ESTATES"
"VAKG2004690","RES","CLS","6102 Winston Pl","22485","King George, VA","Detached","1,344","3","2","","03/11/2024","04/12/24","$319,900.00","$325,000","3","3","Standard","Standard Sale","VA","2.79","1978","No","2024","","NONE","POTOMAC DIST"
"VAKG2004658","RES","CLS","9119 Mullen Rd","22485","King George, VA","Detached","2,457","3","3","1","03/15/2024","04/25/24","$414,900.00","$415,000","6","6","Standard","Standard Sale","VA","0.35","2004","No","","","OAKLAND PARK","OAKLAND PARK"
"VAKG2004686","RES","CLS","8433 Comorn Rd","22485","King George, VA","Detached","960","3","1","","03/09/2024","04/19/24","$299,900.00","$299,900","3","18","Standard","Standard Sale","FHA","0.88","1975","No","2024","","NON E","RAPPAHANNOCK DIST"
"VAKG2004656","RES","CLS","10154 Landfall Ln","22485","King George, VA","Detached","2,563","4","2","1","03/13/2024","04/03/24","$459,900.00","$485,000","7","7","Standard","Standard Sale","FHA","4.00","2001","No","","","ROSIER CROSSING","ROSIER CROSSING"
"VAKG2004640","RES","CLS","12401 State Rd","22485","King George, VA","Detached","912","3","1","0","03/03/2024","04/12/24","$210,000.00","$200,000","4","4","Standard","Standard Sale","Conventional","1.02","1966","No","","Average, Below Average","NONE","RAPPAHANNOCK DIST"
"VAKG2004652","RES","CLS","11804 Fullers Ln","22485","King George, VA","Detached","1,700","3","2","1","03/06/2024","03/28/24","$400,000.00","$400,000","3","3","Standard","Standard Sale","VA","0.17","2007","No","","","HOPYARD FARM","HOPYARD FARM"
"VAKG2004616","RES","CLS","13105 Thunder Rd","22485","King George, VA","Detached","1,426","3","2","","03/04/2024","04/05/24","$349,900.00","$340,000","7","7","Standard","Standard Sale","VA","2.05","2007","No","2024","Excellent","BEAVER LODGE ESTATES","BEAVER LODGE ESTATES"
"VAKG2004518","RES","CLS","5981 Sedgewick Ct","22485","King George, VA","Detached","4,562","6","5","","04/08/2024","04/29/24","$629,900.00","$651,171","3","3","Standard","Standard Sale","VA","2.09","2006","No","","Excellent","SEDGEWICK CROSSING","SEDGEWICK CROSSING"
"VAKG2004602","RES","CLS","7280 Jefferson Dr","22485","King George, VA","Detached","3,152","5","3","1","02/27/2024","04/02/24","$445,000.00","$450,000","6","6","Standard","Standard Sale","Conventional","0.46","1994","No","","Excellent","PRESIDENTIAL LAKES","PRESIDENTIAL LAKES"
