"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAOR2006890","RES","CLS","35664 Pine Needle Ln","22508","Orange, VA","Detached","2,340","4","2","1","","04/05/24","$499,990.00","$499,990","0","0","Standard","Standard Sale","VA","0.19","2023","Yes","","Excellent","WILDERNESS SHORES",""
"VAOR2006734","RES","CLS","111 Tallwood Trl","22508","Orange, VA","Detached","1,152","2","2","","04/25/2024","04/24/24","$299,500.00","$280,000","4","4","Standard","Standard Sale","Conventional","0.00","1975","No","2024","Excellent","LAKE OF THE WOODS",""
"651096","RES","CLS","324 East St","22942","Orange, VA","Detached","1,388","3","2","1","","03/29/24","$325,000.00","$325,000","0","0","Standard","","Conventional","0.38","2004","No","","","UNKNOWN",""
"VAOR2006618","RES","CLS","341 Piedmont St","22960","Orange, VA","Detached","2,352","2","3","","04/08/2024","04/23/24","$289,000.00","$265,000","4","4","Standard","Standard Sale","Cash","0.28","1967","No","","","MARSHALL HEIGHTS",""
"VAOR2006708","RES","CLS","217 Harper Dr","22960","Orange, VA","End of Row/Townhouse","1,512","3","3","1","03/31/2024","04/30/24","$259,900.00","$249,000","6","23","Standard","Standard Sale","USDA","0.09","1989","No","","","JOHNSON VILLAGE","JOHNSON VILLAGE"
"VAOR2006642","RES","CLS","300 Belleview Ave","22960","Orange, VA","Detached","915","3","1","0","04/05/2024","04/25/24","$275,000.00","$275,000","10","10","Standard","Standard Sale","Owner Financing","0.20","1927","No","2023","Very Good","JOHNSON VILLAGE","JOHNSON VILLAGE"
"VAOR2006686","RES","CLS","2849 White Tail Dr","22508","Orange, VA","Detached","2,523","4","2","1","04/10/2024","04/25/24","$539,999.00","$525,000","15","15","Standard","Standard Sale","VA","0.15","2024","Yes","","Excellent","WILDERNESS SHORES",""
"VAOR2006626","RES","CLS","158 Peliso Ave","22960","Orange, VA","Detached","1,602","3","2","0","04/02/2024","04/30/24","$349,000.00","$350,000","5","5","Standard","Standard Sale","FHA","0.56","1900","No","2017","","JOHNSON VILLAGE","JOHNSON VILLAGE"
"VAOR2006636","RES","CLS","24459 Grant Dr","22542","Orange, VA","Manufactured","1,566","3","2","0","03/29/2024","04/26/24","$315,000.00","$322,000","9","9","Standard","Standard Sale","VA","3.00","2008","No","2017","","WILDERNESS WOODS","WILDERNESS WOODS"
"VAOR2006638","RES","CLS","7537 Gold Dale Rd","22508","Orange, VA","Detached","1,300","4","2","","03/20/2024","03/27/24","$198,900.00","$220,000","3","3","Standard","Standard Sale","Cash","4.85","1988","No","","","NONE AVAILABLE","RANNO"
"VAOR2006628","RES","CLS","105 Liberty Blvd","22508","Orange, VA","Detached","1,652","3","2","0","03/24/2024","04/08/24","$385,000.00","$390,000","4","4","Standard","Standard Sale","VA","0.00","1992","No","","Very Good","LAKE OF THE WOODS",""
