"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VASP2003936","RES","CLS","2409 Copa Ct","22408","Spotsylvania, VA","End of Row/Townhouse","1,869","4","2","2","","01/05/20","$309,470.00","$309,470","0","1","Standard","Standard Sale","Conventional","0.06","","Yes","","Excellent","NEW POST ON THE RAPPAHANNOCK",""
"606389","RES","CLS","6213 Belmont Dr Rd","23117","Spotsylvania, VA","Detached","2,760","3","3","0","","10/16/20","$347,500.00","$343,500","5","5","Standard","","Cash","0.98","2004","No","","","NONE AVAILABLE",""
"601310","RES","CLS","15461 Days Bridge Rd Rd","23117","Spotsylvania, VA","Detached","1,008","3","1","1","","08/12/20","$169,000.00","$165,000","89","89","Standard","","USDA","0.92","1991","No","","","NONE AVAILABLE",""
"VASP229270","RES","CLS","5361-3561 Holley Oak Ln","22407","Spotsylvania, VA","Detached","2,319","0","0","","","03/09/20","$354,990.00","$354,990","0","0","Standard","Standard Sale","VA","0.21","2020","No","","","LEES PARKE","LEES PARKE"
"VASP229250","RES","CLS","10202 Egret Ct","22408","Spotsylvania, VA","Detached","0","3","2","1","","09/01/20","$309,155.00","$309,155","0","0","Standard","Standard Sale","Conventional","0.04","0","No","","Excellent","SPOTSYLVANIA","NEW POST"
"600492","RES","CLS","15105 Poplar Ct Ct","22960","Spotsylvania, VA","Detached","3,360","6","4","1","","04/08/20","$749,800.00","$725,000","2","60","Standard","","Conventional","1.52","1996","No","","","NONE AVAILABLE",""
"597039","RES","CLS","2707 Mt Olive Rd Rd","23015","Spotsylvania, VA","Detached","1,344","3","2","0","","02/03/20","$299,400.00","$299,000","56","56","Standard","","Conventional","4.38","2019","Yes","","","NONE AVAILABLE",""
"VASP227758","RES","CLS","8106 Lee Jackson Cir","22553","Spotsylvania, VA","Detached","4,171","4","3","1","","12/08/20","$482,000.00","$482,000","0","0","Standard","Standard Sale","Conventional","1.42","2000","No","","","CHANCELLOR WEST","CHANCELLOR WEST"
"VASP228906","RES","CLS","3404 Windsor Rose Rd","23024","Spotsylvania, VA","Detached","7,273","6","6","1","","09/24/20","$1,586,550.00","$1,586,550","0","0","Standard","Standard Sale","Conventional","1.08","2020","Yes","","Excellent","ANNA VISTA II","ANNA VISTA"
"VASP228392","RES","CLS","5833 Arcadia Crossing Ln","22580","Spotsylvania, VA","Detached","0","4","2","1","","04/09/20","$503,375.00","$503,375","0","0","Standard","Standard Sale","Conventional","3.01","0","No","","","NONE AVAILABLE","ARCADIA CROSSING SOUTH"
"VASP228342","RES","CLS","12908 Macneil Ct","22407","Spotsylvania, VA","Detached","0","4","3","1","","06/01/20","$612,740.00","$612,740","0","0","Standard","Standard Sale","VA","2.05","0","No","","","GLENHAVEN","GLENHAVEN SOUTH-B"
"VASP228340","RES","CLS","11528 Osprey Trl","22551","Spotsylvania, VA","Detached","0","4","2","1","","10/06/20","$468,025.00","$468,025","0","0","Standard","Standard Sale","Conventional","0.63","0","No","","","FAWN LAKE","FAWN LAKE"
