"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST230890","RES","CLS","212 Embrey Mill Rd","22554","Stafford, VA","Detached","0","3","2","1","","11/20/20","$405,300.00","$421,200","0","0","Standard","Standard Sale","Conventional","0.13","0","No","","","EMBREY MILL","EMBREY MILL"
"VAST229384","RES","CLS","196 Embrey Mill Rd","22554","Stafford, VA","Detached","0","4","3","1","","04/20/20","$451,660.00","$451,660","0","0","Standard","Standard Sale","Conventional","0.18","2020","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST227946","RES","CLS","229 Boxelder Drive","22554","Stafford, VA","Detached","3,366","3","3","1","","11/20/20","$494,670.00","$494,670","0","0","Standard","Standard Sale","Conventional","0.25","2020","No","","","EMBREY MILL",""
"VAST229162","RES","CLS","291 Potomac Run","22405","Stafford, VA","Detached","0","4","2","","","12/18/20","$555,720.00","$555,720","0","0","Standard","Standard Sale","Conventional","1.51","0","No","","","POTOMAC RUN",""
"VAST229066","RES","CLS","2 Port View Dr","22405","Stafford, VA","Detached","3,188","0","1","","","12/31/20","$506,698.00","$506,698","0","0","Standard","Standard Sale","VA","0.26","2019","No","","","NONE AVAILABLE",""
"VAST228918","RES","CLS","218 Aquia Bay Ave","22554","Stafford, VA","Detached","2,028","4","2","","","08/06/20","$376,900.00","$376,900","0","0","Standard","Standard Sale","VA","1.00","1988","No","","","AQUIA BAY ESTATES","AQUIA BAY ESTATES"
"VAST228870","RES","CLS","6025 Avery Point Dr","22406","Stafford, VA","Detached","0","1","1","1","","09/09/20","$388,928.00","$388,918","0","0","Standard","Standard Sale","Conventional","0.14","2020","Yes","","Excellent","CELEBRATE","CELEBRATE VIRGINIA NORTH"
"VAST228756","RES","CLS","1001 Aspen Rd","22554","Stafford, VA","Detached","0","4","2","1","","10/01/20","$556,265.00","$556,265","0","0","Standard","Standard Sale","VA","0.16","0","No","","","EMBREY MILL","EMBREY MILL"
"VAST228544","RES","CLS","109 Ivywood Dr","22554","Stafford, VA","Detached","2,017","4","2","1","","07/08/20","$305,000.00","$305,000","0","0","Standard","Standard Sale","FHA","0.29","1983","No","","","HERITAGE OAKS","HERITAGE OAKS"
"VAST228540","RES","CLS","1191 Coastal Ave","22554","Stafford, VA","Detached","0","6","4","","","05/06/20","$593,000.00","$593,580","0","0","Standard","Standard Sale","Conventional","0.17","2020","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST228536","RES","CLS","301 Arboretum Ln","22405","Stafford, VA","Detached","0","4","2","0","","04/24/20","$460,500.00","$460,500","0","0","Standard","Standard Sale","VA","0.22","0","No","","","LEELAND STATION","LEELAND STATION"
"VAST228482","RES","CLS","11 Liberty Knolls Dr","22554","Stafford, VA","Detached","6,487","4","4","1","","06/12/20","$719,000.00","$719,000","0","2","Standard","Standard Sale","VA","1.18","2014","No","","","LIBERTY KNOLLS","LIBERTY KNOLLS"
"VAST228350","RES","CLS","102 Claiborne Ave","22405","Stafford, VA","Interior Row/Townhouse","1,324","3","2","1","","12/30/20","$225,000.00","$225,000","0","0","Standard","Standard Sale","Conventional","0.04","1994","No","","","NONE AVAILABLE","TOWNS OF EAST CHATHAM"
"VAST228346","RES","CLS","61 Fern Oak Cir #101","22554","Stafford, VA","Penthouse Unit/Flat/Apartment","0","1","1","","","01/31/20","$110,000.00","$110,000","0","0","Standard","Standard Sale","Conventional","","0","No","","","CARRIAGE POINTE AT AQUIA","CARRIAGE POINTE AT AQUIA"
"VAST228328","RES","CLS","221 Boxelder","22554","Stafford, VA","Detached","2,563","4","2","","","10/22/20","$426,990.00","$478,971","0","0","Standard","Standard Sale","VA","1.50","2020","No","","","EMBREY MILL",""
"VAST228318","RES","CLS","1071 Aspen Rd","22554","Stafford, VA","Detached","0","3","2","","","10/15/20","$473,475.00","$473,475","0","0","Standard","Standard Sale","Conventional","0.15","0","No","","","NONE AVAILABLE","EMBREY MILL"
"VAST228314","RES","CLS","2015 Dewey Dr","22554","Stafford, VA","Detached","1,592","3","2","","","09/29/20","$322,000.00","$322,000","0","0","Standard","Standard Sale","VA","0.32","1974","No","","","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST228302","RES","CLS","533 River Crest Way","22405","Stafford, VA","Interior Row/Townhouse","0","3","3","","","12/31/20","$271,960.00","$271,960","0","0","Standard","Standard Sale","Conventional","0.03","0","No","","","RAPPAHANNOCK LANDING",""
"VAST228222","RES","CLS","309 Daylily Ln","22554","Stafford, VA","Detached","4,500","4","2","1","","12/21/20","$580,475.00","$580,475","0","0","Standard","Standard Sale","VA","0.17","0","No","","","NONE AVAILABLE","EMBREY MILL"
"VAST228212","RES","CLS","22 Port View Drive","22405","Stafford, VA","Detached","3,400","5","4","1","","12/30/20","$500,155.00","$498,955","0","0","Standard","Standard Sale","VA","0.21","2020","Yes","","Excellent","SOUTHGATE",""
"VAST228210","RES","CLS","117 Zoe Way","22554","Stafford, VA","Detached","3,500","4","3","1","","12/29/20","$574,605.00","$574,605","0","0","Standard","Standard Sale","VA","0.23","2020","No","","","SHELTON KNOLLS",""
"VAST228204","RES","CLS","206 Elm St","22554","Stafford, VA","Detached","3,200","5","3","","","06/29/20","$523,660.00","$523,660","0","0","Standard","Standard Sale","Conventional","0.00","2020","No","","","SHELTON WOODS",""
"VAST228202","RES","CLS","103 Marianne Pl","22554","Stafford, VA","Detached","3,200","4","2","1","","12/29/20","$543,220.00","$543,220","0","0","Standard","Standard Sale","Conventional","0.00","2020","No","","","SHELTON KNOLLS",""
"VAST228200","RES","CLS","6 Port View Dr","22405","Stafford, VA","Detached","0","4","2","1","","06/29/20","$408,730.00","$408,730","0","0","Standard","Standard Sale","FHA","0.21","0","No","","","SOUTHGATE",""
"VAST228194","RES","CLS","206 Elm St","22554","Stafford, VA","Detached","3,200","5","4","","","06/29/20","$523,660.00","$523,660","0","0","Standard","Standard Sale","Conventional","0.00","2020","No","","","SHELTON WOODS",""
"VAST228186","RES","CLS","6 Port View Dr","22405","Stafford, VA","Detached","0","4","2","1","","06/29/20","$408,730.00","$408,730","0","0","Standard","Standard Sale","FHA","0.21","0","No","","","SOUTHGATE",""
"VAST226028","RES","CLS","525 Aspen Rd","22554","Stafford, VA","Detached","0","4","3","1","","12/24/20","$457,990.00","$519,525","0","0","Standard","Standard Sale","Builders Terms, VA","0.14","0","No","","","NONE AVAILABLE","EMBREY MILL"
"VAST228100","RES","CLS","379 Hope Rd","22554","Stafford, VA","Detached","0","5","3","1","","12/22/20","$489,000.00","$492,254","0","0","Standard","Standard Sale","Conventional","0.59","0","No","","","KENWORTHY",""
"VAST228074","RES","CLS","939 Crab Apple Dr","22554","Stafford, VA","Detached","0","5","3","1","","08/14/20","$426,990.00","$579,839","0","0","Standard","Standard Sale","Conventional","0.21","2020","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST228032","RES","CLS","1690 Crested Eagle Ln","22554","Stafford, VA","Detached","3,390","4","3","1","","12/18/20","$633,945.00","$633,945","0","0","Standard","Standard Sale","VA","27.00","2020","No","","Excellent","NONE AVAILABLE",""
"VAST228028","RES","CLS","409 Daylily Ln","22554","Stafford, VA","Detached","0","5","4","1","","12/14/20","$498,990.00","$587,035","0","0","Standard","Standard Sale","VA","0.17","0","No","","","EMBREY MILL","EMBREY MILL"
"VAST227952","RES","CLS","15 Westhampton Ct","22554","Stafford, VA","Detached","3,582","5","2","2","","12/11/20","$428,000.00","$428,000","0","0","Standard","Standard Sale","VA","0.28","1993","No","","","PARK RIDGE","PARK RIDGE"
"VAST227940","RES","CLS","28 Lawhorn Rd","22554","Stafford, VA","Detached","3,181","4","3","1","12/17/2020","12/31/20","$454,000.00","$460,000","4","4","Standard","Standard Sale","Conventional","0.24","1991","No","","","SETTLERS LANDING","SETTLER'S LANDING"
"VAST227900","RES","CLS","46 Morton Rd","22405","Stafford, VA","Detached","960","3","1","","12/15/2020","12/22/20","$238,000.00","$238,000","2","2","Standard","Standard Sale","Cash","0.34","1981","No","","Very Good","NORTHRIDGE","NORTHRIDGE"
"VAST227772","RES","CLS","11 Thressa Garden Place","22406","Stafford, VA","Detached","0","3","2","0","12/04/2020","01/31/20","$516,615.00","$516,615","0","0","Standard","","FHA","3.00","2020","Yes","","Excellent","THRESSAS GARDENS","THRESSA'S GARDENS"
